30187395,8,26,2018,5
30187395,4,33,2018,4
30187395,1,25,2018,5
30187395,10,28,2018,4
26942631,5,22,2017,6
26942631,11,37,2017,5
26942631,4,23,2017,4
26942631,13,38,2017,5
26935777,7,23,2017,1
26935777,6,30,2017,2
26935777,10,26,2017,3
26924141,1,35,2018,4
26924141,2,35,2018,4
26924141,3,35,2018,4
26924141,4,35,2018,4
26924141,5,35,2018,4
26924141,6,35,2018,4
26924141,7,35,2018,4
26924141,8,35,2018,4
26924141,9,35,2018,4
26924141,10,35,2018,4
26924141,11,32,2018,3
26924141,12,24,2018,2
26924141,13,22,2018,3
26868408,12,29,2017,6
26868408,3,40,2017,5
26868408,9,35,2017,4
26868408,7,34,2017,4
26774033,5,25,2018,12
26774033,4,23,2018,11
26774033,6,26,2018,11
26769474,2,40,2018,2
26769474,12,22,2018,2
26769474,8,32,2018,2
26769474,13,31,2018,2
26691361,7,33,2018,2
26691361,13,22,2018,2
26691361,9,39,2018,1
26691361,10,27,2018,2
26683723,9,32,2018,1
26683723,5,25,2018,1
26683723,8,37,2018,2
26683723,1,34,2018,1
26661189,7,33,2018,3
26661189,11,24,2018,3
26661189,5,24,2018,2
26661189,3,26,2018,3
26640371,2,22,2018,8
26640371,5,25,2018,7
26640371,7,23,2018,8
26588783,6,39,2016,5
26588783,13,25,2016,5
26588783,9,27,2016,5
26588783,3,28,2016,5
26430636,9,31,2018,12
26430636,5,32,2018,12
26430636,10,22,2018,12
26420932,1,34,2017,2
26420932,2,37,2017,1
26420932,13,31,2017,2
26384741,2,22,2018,11
26384741,11,25,2018,11
26384741,13,37,2018,11
26384741,12,30,2018,11
25881611,8,28,2018,5
25881611,12,35,2018,4
25881611,4,24,2018,6
25881611,9,31,2018,5
5330387,5,23,2017,3
5330387,8,37,2017,3
5330387,1,40,2017,3
5330387,13,39,2017,3
4920389,2,25,2018,4
4920389,6,33,2018,4
4920389,13,27,2018,4
4920389,7,25,2018,4
